customer_id,customer_name,customer_email,signup_date,city
1,Allison Hill,silvapreston@example.org,2023-01-01,Lake Danielton
2,Noah Rhodes,kathleenellis@example.com,2023-01-02,West Franciscomouth
3,Angie Henderson,jeffrey20@example.com,2023-01-03,Smithtown
4,Daniel Wagner,cbradley@example.org,2023-01-04,East Karenville
5,Cristian Santos,rhonda97@example.org,2023-01-05,Jacksonton
6,Connie Lawrence,michael79@example.org,2023-01-06,Rebeccaburgh
7,Abigail Shaffer,kaylaburns@example.org,2023-01-07,Roweshire
8,Gina Moore,wilsonmatthew@example.net,2023-01-08,Jamesland
9,Gabrielle Davis,basssteven@example.com,2023-01-09,Georgeland
10,Ryan Munoz,colleenwhite@example.com,2023-01-10,Martinezhaven
11,Monica Herrera,montoyabrenda@example.net,2023-01-11,Griffithstad
12,Jamie Arnold,richard88@example.net,2023-01-12,Nealland
13,Lisa Hensley,cwebster@example.net,2023-01-13,Rickchester
14,Michele Williams,emily73@example.com,2023-01-14,Nelsonfurt
15,Dylan Miller,edowns@example.net,2023-01-15,Deborahport
16,Brian Ramirez,maria36@example.com,2023-01-16,Nicholasfurt
17,Holly Wood,nicole02@example.com,2023-01-17,Port Julieburgh
18,Derek Zuniga,edwardfoster@example.com,2023-01-18,Jeremyfort
19,Lisa Jackson,wdyer@example.com,2023-01-19,Cassandraside
20,Carla Gray,zstokes@example.com,2023-01-20,New Whitneyfort
21,Margaret Hawkins DDS,april66@example.net,2023-01-21,Port Kathyborough
22,Patty Perez,lori47@example.net,2023-01-22,Hallport
23,Ethan Adams,baileymeagan@example.net,2023-01-23,North Jesse
24,Tommy Walter,joshuaramos@example.com,2023-01-24,North Heatherfort
25,Matthew Foster,deborah24@example.org,2023-01-25,South Jenniferport
26,Judy Baker,john72@example.net,2023-01-26,Kylehaven
27,Justin Baker,hansenjoshua@example.net,2023-01-27,Port Ashley
28,Stephanie Ross,oedwards@example.net,2023-01-28,West Melindafort
29,Zachary Hicks,marvin03@example.com,2023-01-29,North Johnborough
30,Anthony Rodriguez,joshua07@example.net,2023-01-30,Port Thomas
31,Rebecca Henderson,brooksamanda@example.org,2023-01-31,South Chadhaven
32,James Ferrell,sara93@example.org,2023-02-01,Jenniferburgh
33,Tricia Valencia,wrightcarolyn@example.com,2023-02-02,Rosston
34,Nathan Maldonado,hortonjoshua@example.org,2023-02-03,Scotttown
35,Debra Davidson,nwalker@example.org,2023-02-04,Port Anthony
36,Jeffrey Chavez,christopher06@example.org,2023-02-05,Timothychester
37,Sherri Baker,lisamccarthy@example.org,2023-02-06,West Suzannefurt
38,Cassandra Gaines,dale26@example.com,2023-02-07,South Andrew
39,Elizabeth Fowler,mollyhayes@example.net,2023-02-08,Justinside
40,Brittany Farmer,sharris@example.com,2023-02-09,Lewisfort
41,Paula Moreno,bcampbell@example.com,2023-02-10,Benjaminside
42,Fred Smith,vshields@example.org,2023-02-11,Danielport
43,Sherry Decker,jefferyvincent@example.org,2023-02-12,Kennethland
44,Anthony Humphrey,ygonzalez@example.net,2023-02-13,Port Alison
45,Angelica Tucker,vbaker@example.net,2023-02-14,West Amber
46,Philip Cannon,kimberlyerickson@example.net,2023-02-15,Lake John
47,John Pierce,lisa10@example.org,2023-02-16,Matthewfurt
48,Shane Henderson,whitetracy@example.org,2023-02-17,South Jamie
49,Joshua Blair,hbrock@example.net,2023-02-18,Port Patrickville
50,Eric Carney,danny48@example.com,2023-02-19,Mendozahaven
51,Jessica Holmes,oalvarez@example.com,2023-02-20,West Melissaborough
52,Danny Morgan,aprilforbes@example.org,2023-02-21,North Alexborough
53,Crystal Robinson,qmiller@example.org,2023-02-22,North Lesliestad
54,Mark Perez,sergio54@example.net,2023-02-23,South Kimberlyville
55,Shannon Jones,nrice@example.com,2023-02-24,Adamview
56,Michael Lewis,bautistarhonda@example.net,2023-02-25,Hunterville
57,Timothy Duncan,robertlopez@example.com,2023-02-26,Carlsonfort
58,Richard Aguirre,barbermichelle@example.com,2023-02-27,Port Jeremiah
59,Brent Jordan,ryan70@example.com,2023-02-28,Port Daniel
60,John Daniel,fieldsrobin@example.net,2023-03-01,North Brandon
61,Victoria Garcia,pughcarol@example.org,2023-03-02,North Joshuahaven
62,Gerald Hensley,nnielsen@example.net,2023-03-03,North Gina
63,Connor West,andersontravis@example.com,2023-03-04,Nicoleshire
64,Donald Wright,carmen98@example.com,2023-03-05,Stevenborough
65,Jessica Callahan,gravestammy@example.org,2023-03-06,Lake Paul
66,Amber Kidd,gjenkins@example.com,2023-03-07,Rebeccatown
67,Tracy House,cookheather@example.org,2023-03-08,Walterstown
68,Carol Tucker,wriley@example.org,2023-03-09,Johnsonbury
69,James Brown,xkirk@example.org,2023-03-10,Port Kathleen
70,William Baker,cardenasjoseph@example.com,2023-03-11,New Crystal
71,Jordan Henderson,sheppardallison@example.net,2023-03-12,East John
72,Whitney Peters,scott48@example.org,2023-03-13,South Logan
73,Brittney Phillips,perezzachary@example.com,2023-03-14,Holdenmouth
74,Lauren Daniels,vlewis@example.net,2023-03-15,West Cherylmouth
75,Amy Silva,hannah04@example.com,2023-03-16,Lake Calvinside
76,Sarah Moore,timothypalmer@example.net,2023-03-17,Hernandezchester
77,Angela Lopez,lopezmichelle@example.net,2023-03-18,Wardmouth
78,Megan Young,latoyahartman@example.com,2023-03-19,Sullivanmouth
79,Steve Sanchez,jodimiller@example.com,2023-03-20,Martineztown
80,Lisa Barnes,julie84@example.com,2023-03-21,Lisahaven
81,Kelly Donovan,pamela88@example.net,2023-03-22,New Tyler
82,Mike Allen,wendy93@example.org,2023-03-23,North Philipchester
83,Michael Evans,wendybonilla@example.org,2023-03-24,East Christina
84,Paul Jones,xsims@example.com,2023-03-25,Romeroside
85,Zachary Ferrell,kirkmallory@example.org,2023-03-26,Gomezport
86,Daniel Baker,xharvey@example.org,2023-03-27,South Steven
87,Shirley Suarez,paulerik@example.net,2023-03-28,South Karashire
88,Christopher Bass,nolancatherine@example.net,2023-03-29,Hardintown
89,Lisa Archer,ojames@example.org,2023-03-30,East Alexandriaport
90,Aimee Montoya,reneehoward@example.com,2023-03-31,West Jamieside
91,Matthew Mcmillan,joseph03@example.org,2023-04-01,North Michaelborough
92,Brian Rodriguez,lharper@example.org,2023-04-02,West Tamaratown
93,Denise Jacobs,joshua02@example.net,2023-04-03,Port Michaelside
94,Christina Walters,kclark@example.org,2023-04-04,West Ellen
95,John Whitehead,thomastheresa@example.net,2023-04-05,Gracemouth
96,Anna Henderson,jason85@example.org,2023-04-06,Kristimouth
97,Aaron Wise,carterjames@example.net,2023-04-07,Raymondview
98,Deborah Figueroa,hollychang@example.net,2023-04-08,Lake Scotthaven
99,Jessica Smith,imahoney@example.org,2023-04-09,Jefferymouth
100,Stephen Mckee,allison10@example.net,2023-04-10,Johnsonhaven
101,Sandra Aguilar,reneebrown@example.com,2023-04-11,East Kimberly
102,Cameron Parker,alyssa73@example.net,2023-04-12,Sheltonhaven
103,Rebecca Valencia,scott79@example.com,2023-04-13,Lake Patrickstad
104,Christine Wright,brendafox@example.net,2023-04-14,Lake Lisa
105,Richard Henson,josephmoran@example.net,2023-04-15,West Emily
106,Marc Moore,joel15@example.org,2023-04-16,Hodgesshire
107,Sharon Cherry,toddheath@example.org,2023-04-17,Port Grace
108,Sierra Johnson,samuelhill@example.org,2023-04-18,West Kathleenburgh
109,Evelyn Galvan,miranda18@example.com,2023-04-19,Ashleyshire
110,Sharon Cochran,monicadiaz@example.com,2023-04-20,West Joycetown
111,Richard Rodriguez,yschroeder@example.net,2023-04-21,New Sarahshire
112,Shannon Walker,rogersmatthew@example.org,2023-04-22,Jessicaside
113,Julia Torres,brianpalmer@example.net,2023-04-23,Lake Julieport
114,Crystal Johnson,nluna@example.com,2023-04-24,Lake Jacob
115,Garrett Lin,jose87@example.com,2023-04-25,Pamelastad
116,Diana May,leonardmatthew@example.net,2023-04-26,Josephbury
117,William Herrera,william49@example.net,2023-04-27,Debramouth
118,Ashley Waller,dyermegan@example.net,2023-04-28,Crystalburgh
119,Victor Baker,dixonderek@example.com,2023-04-29,New Richard
120,Jeffrey Chandler,richard40@example.org,2023-04-30,Douglasbury
121,Larry Dixon,anthony69@example.com,2023-05-01,North Terri
122,Kenneth Scott,kristen93@example.com,2023-05-02,Moorefurt
123,April Frost,william10@example.net,2023-05-03,Derekton
124,Michelle Harmon,elizabethgriffin@example.com,2023-05-04,Lake Stephenmouth
125,Helen Jones,sergio77@example.com,2023-05-05,North Jamesstad
126,Erin Edwards,nathan25@example.com,2023-05-06,Johnsonport
127,Michelle Evans,martinezwillie@example.org,2023-05-07,Laurenland
128,Jason Powell,jill37@example.net,2023-05-08,Williamberg
129,Cameron Fisher,bgilbert@example.com,2023-05-09,Karlatown
130,Megan Orr,pagemorgan@example.com,2023-05-10,West Christina
131,Elizabeth Kelley,amy49@example.net,2023-05-11,Nicolemouth
132,Dustin Jordan,qmurray@example.net,2023-05-12,Clarkbury
133,Mary Marshall,grahamdavid@example.net,2023-05-13,Adamsfurt
134,Daniel Kennedy,kristin71@example.org,2023-05-14,New Michaelton
135,Rebecca Jackson,michael35@example.org,2023-05-15,Lake Phillip
136,Jose Schultz,kimberlyjordan@example.com,2023-05-16,Laurashire
137,Robert Potter,bennettdavid@example.org,2023-05-17,West Katherinebury
138,Courtney Gonzalez,travisfrazier@example.com,2023-05-18,Jeffshire
139,David Alvarez,james14@example.com,2023-05-19,Staceymouth
140,Angel Perry,steelejames@example.org,2023-05-20,Guzmanville
141,Cheyenne Horton,oescobar@example.org,2023-05-21,Davilatown
142,David Douglas Jr.,morgansusan@example.com,2023-05-22,Brownchester
143,Patricia Rodriguez,kristygomez@example.net,2023-05-23,Montgomeryhaven
144,Christopher Rubio,pam56@example.org,2023-05-24,South James
145,Amber Wright,colemanangela@example.net,2023-05-25,Port Brandon
146,Joyce Solis,jamesbauer@example.net,2023-05-26,Patriciaburgh
147,Victoria Larson,wlyons@example.com,2023-05-27,Starkborough
148,Stephanie Salazar,jhicks@example.net,2023-05-28,Campbellside
149,Kathy Rivas,katherine49@example.org,2023-05-29,North Amandaview
150,Stephanie Manning,shawkatherine@example.org,2023-05-30,Fergusontown
151,David Wright,james71@example.com,2023-05-31,Edwardville
152,Pamela Boyd,erin85@example.org,2023-06-01,Keithshire
153,Denise Jones,garrettbeth@example.net,2023-06-02,North Melissaburgh
154,Devon Flores,jeffreyhawkins@example.org,2023-06-03,Lindahaven
155,Brenda Hall,monicabarnett@example.com,2023-06-04,Dixonmouth
156,Michelle Brown,millsstephanie@example.net,2023-06-05,Gonzalezville
157,Joshua Perry,debbie01@example.org,2023-06-06,North Harold
158,Jason Stein,nathan83@example.net,2023-06-07,East Shawnbury
159,Melissa Gates,davismike@example.org,2023-06-08,Kevinstad
